scrapping_date,link,name_of_hotel
2022-12-10 06:32:04.898508,https://www.booking.com/hotel/us/the-newbury-boston.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&from_sustainable_property_sr=1&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,The Newbury Boston
2022-12-10 06:32:04.914426,https://www.booking.com/hotel/us/citizenm-boston-north-station.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&from_sustainable_property_sr=1&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,citizenM Boston North Station
2022-12-10 06:32:04.924942,https://www.booking.com/hotel/us/boston-park-plaza-boston.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&from_sustainable_property_sr=1&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,Boston Park Plaza
2022-12-10 06:32:04.932890,https://www.booking.com/hotel/us/doubletree-club-bayside.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&from_sustainable_property_sr=1&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,DoubleTree by Hilton Hotel Boston Bayside
2022-12-10 06:32:04.940707,https://www.booking.com/hotel/us/the-verb.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,The Verb Hotel
2022-12-10 06:32:04.948407,https://www.booking.com/hotel/us/studio-allston-hotel-boston.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,Studio Allston Hotel Boston
2022-12-10 06:32:04.955691,https://www.booking.com/hotel/us/hyatt-place-boston-seaport-district.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&from_sustainable_property_sr=1&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,Hyatt Place Boston/Seaport District
2022-12-10 06:32:04.962520,https://www.booking.com/hotel/us/hampton-inn-boston-seaport-ma.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&from_sustainable_property_sr=1&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,Hampton Inn Boston Seaport District
2022-12-10 06:32:04.968698,https://www.booking.com/hotel/us/canopy-by-hilton-boston-downtown.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,Canopy By Hilton Boston Downtown
2022-12-10 06:32:04.975267,https://www.booking.com/hotel/us/boston-back-bay.html?label=gen173nr+%5C+-1FCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4AtPev5wGwAIB0g+%5C+IkMzczODQ3OWMtN2M5Ny00NjA5LThjYWQtYzM0YTBlOGQzN2Y12AIG4AIB&sid=b0606c9325481785d6f3a8af5a0a6aa3&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b6c307427c0f00be&srepoch=1670634118&dcs_click=1&from=searchresults&map_fdco=1#hotelTmpl,Hilton Boston Back Bay
