scrapping_date,hotel_name,hotel_address,review_score,review_rating_category,customer_review_count,room_type_block,num_of_days_stayed,date_of_stay,traveller_type,review_score_badge,review_text_positive,review_text_negative,review_date
2022-12-10 07:08:36.687047,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

August 2022

","
August 2022
","
Family
", 9.0 ,location and care,cost,"
August 2022
"
2022-12-10 07:08:36.730099,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

September 2022

","
September 2022
","
Solo traveler
", 9.0 ,"Modern amenities, great location, all day in room dining (I enjoyed the spicy lobster chowder, pasta entrees and the breakfast). Soft interiors details with nice gardern view from my room had a pleasant relaxing effect. And simple things like how easy it was to cast from mobile to TV, helpful staff made my stay a great experience.",N/A,"
September 2022
"
2022-12-10 07:08:36.748849,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

August 2022

","
August 2022
","
Couple
", 10 ,The staff was outstanding.  Every request was met with a yes.  Friendly and helpful.  One of the best staffs we have run into.,N/A,"
August 2022
"
2022-12-10 07:08:36.798369,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
3 nights · 

July 2022

","
July 2022
","
Couple
", 8.0 ,"Fantastic location.  Best area in the city of Boston, hands down.  Contessa had great food, but noise was a bit much.","Street Bar is tiny with limited menu.  The Lounge/Library area was hot, need better AC.  We didn't have hot water for more than half a day.  I had to go to a couple of appointments without having a shower.  I had to call the front desk to find out we didn't have hot water.","
July 2022
"
2022-12-10 07:08:36.840459,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
5 nights · 

August 2022

","
August 2022
","
Couple
", 10 ,Everything,the in room refrigerator,"
August 2022
"
2022-12-10 07:08:36.884984,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

July 2022

","
July 2022
","
Solo traveler
", 10 ,"After a disastrous travel day, I was desperately searching for a hotel with an available room.  I found the Newbury through Booking.com (after midnight)...upon arrival the staff was incredibly kind, the hotel was beautiful, the room and the shower were so lovely and so very welcome at that point in the day.  The Nespresso machine in the room and the real china cup to drink coffee from were above and beyond and such a needed balance to the rest of the day.  The hotel is pricey - or perhaps just my late notice room was - but to me it was worth every penny.  I'd love to see it in daylight :-)",not a thing,"
July 2022
"
2022-12-10 07:08:36.919985,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
4 nights · 

August 2022

","
August 2022
","
Family
", 9.0 ,everything,nothing,"
August 2022
"
2022-12-10 07:08:36.961417,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

August 2022

","
August 2022
","
Family
", 10 ,amazing rooftop brunch,N/A,"
August 2022
"
2022-12-10 07:08:37.006862,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

August 2022

","
August 2022
","
Couple
", 10 ,"Beautiful room, great amenities, Byredo products in the room, most pleasant staff",Nothing - everything was perfect!!,"
August 2022
"
2022-12-10 07:08:37.057965,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
4 nights · 

July 2022

","
July 2022
","
Couple
", 9.0 ,"We stayed at the Newbury for 4 nights. The location is absolutely perfect! The building is charming and the build out of this historic property is beautifully done.  The staff were wonderful… pleasant, helpful and professional.  Macie (sp?)- the Concierge- was incredibly helpful with everything we needed.  We loved the Street Bar- excellent drinks and atmosphere. Valet team was fantastic- had my husbands car ready for him at the time he requested every morning and he raved about the complimentary coffee and pastry in the Library.  Brunch at Contessa on Sunday was delicious and gorgeous.  The rooms were nicely appointed and beautifully done…. so quiet and incredibly clean and maintained… however…see below","We had a park view room on the 6th Floor.  There was a constant smell of kitchen exhaust in the hallways walking to and from our room every day. if the smell of cooking meat is an issue for you- do not stay on a lower floor. The cooking smell was not present in the room, but we did have another smell issue in the bathroom- there was a mildew smell in the shower- presumably from the drain.  It was bearable, but noticeable. The phone and iPad were not operational- the phone needed to be re-programmed and we were told they were having issues with the iPads not working- they only show the time and hotel information.  Not a deal breaker, but would have been a nice perk.  The only other issue - a suggestion really- for those of us who like a dark room to sleep in, it would be great to have a strip of something across the top of the curtains (which are lovely btw!) to block out the morning sun.","
July 2022
"
